# Detector Count (1)
DetectorCount
1

# Detector Parameters (5)
DetectorIndex, DetectorPageCount, DetectorCellXSize, DetectorCellYSize, DetectorNormalizer
0, 360, 0.180000, 0.180000, 1.525879e-05

# Page Parameters (23)
PageIndex, SourceLocationX, SourceLocationY, SourceLocationZ, SourceEulerAngle0, SourceEulerAngle1, SourceEulerAngle2, SourceEulerSequence, DetectorLocationX, DetectorLocationY, DetectorLocationZ, DetectorEulerAngle0, DetectorEulerAngle1, DetectorEulerAngle2, DetectorEulerSequence, ObjectLocationX, ObjectLocationY, ObjectLocationZ, ObjectEulerAngle0, ObjectEulerAngle1, ObjectEulerAngle2, ObjectEulerSequence, FilteringAngle
72, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.400000, 0.000000, 10.000000, 287.279999, 0.000000, 0.000000, 0, 88.180000
73, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.377778, 0.000000, 10.000000, 291.269989, 0.000000, 0.000000, 0, 88.180000
74, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.355556, 0.000000, 10.000000, 295.260010, 0.000000, 0.000000, 0, 88.180000
75, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.333333, 0.000000, 10.000000, 299.250000, 0.000000, 0.000000, 0, 88.180000
76, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.311111, 0.000000, 10.000000, 303.239990, 0.000000, 0.000000, 0, 88.180000
77, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.288889, 0.000000, 10.000000, 307.230011, 0.000000, 0.000000, 0, 88.180000
78, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.266667, 0.000000, 10.000000, 311.220001, 0.000000, 0.000000, 0, 88.180000
79, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.244444, 0.000000, 10.000000, 315.209991, 0.000000, 0.000000, 0, 88.180000
80, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.222222, 0.000000, 10.000000, 319.200012, 0.000000, 0.000000, 0, 88.180000
81, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.200000, 0.000000, 10.000000, 323.190002, 0.000000, 0.000000, 0, 88.180000
82, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.177778, 0.000000, 10.000000, 327.179993, 0.000000, 0.000000, 0, 88.180000
83, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.155555, 0.000000, 10.000000, 331.170013, 0.000000, 0.000000, 0, 88.180000
84, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.133333, 0.000000, 10.000000, 335.160004, 0.000000, 0.000000, 0, 88.180000
85, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.111111, 0.000000, 10.000000, 339.149994, 0.000000, 0.000000, 0, 88.180000
86, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.088889, 0.000000, 10.000000, 343.140015, 0.000000, 0.000000, 0, 88.180000
87, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 60.000000, 0.000000, 0.000000, 0.000000, 0, -2.066667, 0.000000, 10.000000, 347.130005, 0.000000, 0.000000, 0, 88.180000
